game,round,col,row,n,category,clue,answer
6096,2,5,5,42,Literature,"In A Saul Bellow Novel, Eugene Henderson Gets This Sacred Title From The African Wariri Tribe",The Rain King
6096,2,6,1,58,Colleges East Of The Mississippi From K To Q,You're Always Part Of The Wolfpack At This Raleigh School,Nc State
6096,2,6,2,53,Colleges East Of The Mississippi From K To Q,It's About A 50-Mile Drive From Penn To This Other Ivy League School That Fits The Category,Princeton
6096,2,6,3,56,Colleges East Of The Mississippi From K To Q,Neil Armstrong Took More Than One Small Step For Himself Attending This Big Ten University In Indiana,Purdue
6096,2,6,4,55,Colleges East Of The Mississippi From K To Q,"About 2,000 Women Attend This College In South Hadley, MasS., One Of The Seven Sisters Schools",Mount Holyoke
6096,2,6,5,54,Colleges East Of The Mississippi From K To Q,"Let's Take A Poll--Does At Least One Of You 3 Know This 'Q' University Is In Hamden, Connecticut?",Quinnipiac
6096,3,1,1,60,The Southern Hemisphere,"To Set A Record For Longest Solo Journey By Kayak, 2,010 Miles, Helen Skelton Traveled Through This Nation For A Month",Brazil
6097,1,1,1,1,Science Around Us,Curtains Made Of Carbon Fiber Rods Are Specifically Designed To Help Buildings Withstand These,Earthquakes
6097,1,1,2,5,Science Around Us,"Pesticides Called Neonicotinoids Are Under An E.U. Ban, Primarily To Save These Insects",Honeybees
6097,1,1,3,6,Science Around Us,"When Unveiled In 1886, The Statue Of Liberty Looked Something Like This, But By 1920, The Copper Exterior Had Turned Completely Green Because Of Weathering, As Well As This Chemical Process & The Copper's Exposure To The Air",Oxidation
6097,1,1,4,7,Science Around Us,"Many Invertebrates Comprising This 1,400-Mile Structure Off Australia Died In 2016",The Great Barrier Reef
6097,1,1,5,8,Science Around Us,"A New Bacterium, Ideonella Sakaiensis, Could Soon Help Degrade These Polymers In Landfills",Plastics
6097,1,2,2,29,Go Fly A Kite!,Kite Power Systems In The U.K. Is Developing The Use Of Kites Instead Of Turbines To Provide This Type Of Energy,Wind Power
6097,1,2,3,26,Go Fly A Kite!,The 1822 'Charvolant' Was This Type Of Passenger Vehicle Pulled At Up To 20 Mph By Kites Instead Of Horses,A Carriage
6097,1,2,4,27,Go Fly A Kite!,"This Type Of Kite, Also Known As A Cellular Kite, Is Seen Here, Aloft",A Box Kite
6097,1,2,5,28,Go Fly A Kite!,"On DeC. 12, 1901 He Used A Kite To Raise An Antenna & Claimed To Receive The First Wireless Signal From Over The Atlantic",(Guglielmo) Marconi
6097,1,3,1,11,Numerical Cinema,"White Rapper Wins Contest, Yo",8 Mile
6097,1,3,2,12,Numerical Cinema,A Trio Of Bachelors Cares For A Foundling Left On Their Doorstep,Three Men And A Baby
6097,1,3,3,14,Numerical Cinema,A Chaste Nerd Trades His Action Figures In For Chicks,The 40-Year-Old Virgin
6097,1,3,4,15,Numerical Cinema,A Derelict Alien Spaceship Is Stalled Out Over South Africa,District 9
6097,1,3,5,16,Numerical Cinema,A Man Is Sent Back In Time To Try To Prevent A Plague,12 Monkeys
6097,1,4,1,13,I'M Allen,"He Became Friends With Bill Gates At Lakeside School; Like Bill, He Dropped Out Of College",Paul Allen
6097,1,4,2,17,I'M Allen,Here's The Buzz--He's The Voice Of Buzz Lightyear,Tim Allen
6097,1,4,3,18,I'M Allen,"In 1844 Macon Allen Became The First Black One Of These Professionals In The U.S. & Later, First Black Justice Of The Peace",An Attorney (Or Lawyer)
6097,1,4,4,24,I'M Allen,"Trying To Capture Montreal, This Green Mountain Boy Was Captured By The British & Held Prisoner Until May 6, 1778",Ethan Allen
6097,1,4,5,25,I'M Allen,This 1960 Pulitzer Prize Winner By Allen Drury Told About The Inner Workings Of The U.S. Senate,Advise And Consent
6097,1,5,1,19,U.S. History,"Published In 1783, His 'American Spelling Book' Preceded His Famous Dictionary By 45 Years",Webster
6097,1,5,2,20,U.S. History,In 1875 This Tammany Hall 'Boss' Escaped From Prison & Fled To Cuba & Then To Spain,Boss Tweed
6097,1,5,3,21,U.S. History,"In 1817, Congress Divided A Territory That Became These Two States That Are Practically Mirror Images Of Each Other",Alabama And Mississippi
6097,1,5,4,22,U.S. History,"On SepT. 17, 1862 This Bloody Battle In Maryland Ended The First Confederate Invasion Of The North",Antietam
6097,1,5,5,23,U.S. History,"On FeB. 1, 1960 4 Students Held A Historic Sit-In At A Lunch Counter In This N.C. City In Protest Over Segregation",Greensboro
6097,1,6,1,2,That Ended 'Well',Type Of Card You Might Receive In A Hospital,A Get Well Card
6097,1,6,2,3,That Ended 'Well',To Reside,Dwell
6097,1,6,3,4,That Ended 'Well',Adieu!,Farewell
6097,1,6,4,9,That Ended 'Well',Samuel Johnson's Faithful Bio Man,(James) Boswell
6097,1,6,5,10,That Ended 'Well',"A Rapid, Spontaneous Growth Of Support For A Political Movement",A Groundswell
6097,2,1,1,40,Religious Leaders,"In 2005 Some 300,000 Mourners Filled ST. Peter's Square For His Funeral",John Paul II
6097,2,1,2,41,Religious Leaders,"Seen Here Is Thubten Gyatso, The 13th Person To Be Given This Title",The Dalai Lama
6097,2,1,3,42,Religious Leaders,"John Carroll, The First Roman Catholic Bishop In The U.S., Founded This D.C. University In 1789",Georgetown
6097,2,1,4,43,Religious Leaders,"In 1996, He Formally Retired As Archbishop Of Cape Town",(Desmond) Tutu
6097,2,1,5,44,Religious Leaders,"Mary, Queen Of Scots Was Not Amused When This Scottish Reformation Leader Married Her Relative In 1564",John Knox
6097,2,2,1,35,Authors' Second Novels,John Grisham Followed 'A Time To Kill' With This Novel About A Harvard Law Grad Joining A Shady Southern Practice,The Firm
6097,2,2,2,36,Authors' Second Novels,"Knowing A Good Thing When He'D Found It, Daniel Defoe Penned 'The Further Adventures Of' This Guy",Robinson Crusoe
6097,2,2,3,37,Authors' Second Novels,"In 'Midnight's Children', NO. 2 By Salman Rushdie, Saleem Is Born AuG. 15, 1947 In This Country On Its Independence Day",India
6097,2,2,4,38,Authors' Second Novels,"2006'S 'New Moon', Second In A 4-Book Series, Was The Sequel To This Debut",Twilight
6097,2,2,5,39,Authors' Second Novels,"His Second Novel, 'The Beautiful And Damned', Was Published In 1922 & Deals With A Rich & Glamorous Couple",Fitzgerald
6097,2,3,1,49,The Secret Of -Nym,Ask Lewis Carroll--Anonym Is A Synonym For This Word That Ends In 'Nym',Pseudonym
6097,2,3,2,50,The Secret Of -Nym,Peking Is An Exonym For This Place,Beijing
6097,2,3,3,51,The Secret Of -Nym,"Homonym Time: A 'Battlestar Galactica' Cuss Word, Or An Oil-Extraction Process",Frack
6097,2,3,4,57,The Secret Of -Nym,Members Of The Organization Known By This Acronym Run Alphabetically From Algeria To Venezuela,Opec
6097,2,3,5,58,The Secret Of -Nym,"A Tautonym Is A Scientific Name Consisting Of The Same Word Twice, Like Vulpes Vulpes For The Red This",Fox
6097,2,4,1,30,'V'acation Spots,A Town 14 Miles Southwest Of Paris Developed Around This 17th Century Palace That Tourists Flock To,Versailles
6097,2,4,2,31,'V'acation Spots,The Trapp Family Lodge In Stowe In This State Welcome Skiers As Well As Superfans Of 'The Sound Of Music',Vermont
6097,2,4,3,32,'V'acation Spots,Viking's 'Waterways Of The Tsars' Cruise Travels Down This River In Russia,The Volga
6097,2,4,4,33,'V'acation Spots,"Adjacent To Norfolk, This City Has About 30 Miles Of Oceanfront & A Creative District Called Vibe",Virginia Beach
6097,2,4,5,34,'V'acation Spots,Port-Vila Is The Capital City Of This Nation Of The Southwest Pacific That Was The New Hebrides Until 1980,Vanuatu
6097,2,5,1,45,Broadway Replacements,"Overrun With 'Cats' For Nearly 20 Years, The Winter Garden Theatre Opened This Abba-Tastic Show In 2001",Mamma Mia!
6097,2,5,2,46,Broadway Replacements,Irony! This Future Jean Valjean Film Actor Bumped 'Les Miserables' From The Imperial Theatre With 'The Boy From Oz',(Hugh) Jackman
6097,2,5,3,47,Broadway Replacements,The 'Monthly' Tracy Letts Pulitzer Prize Winner Was Replaced By His Own Play 'Superior Donuts',August: Osage County
6097,2,5,4,52,Broadway Replacements,"'The Little Mermaid' Preceded This Show As A Disney Movie, But Followed It At The Lunt-Fontanne As A Musical",Beauty And The Beast
6097,2,5,5,53,Broadway Replacements,This Writer's 'The Caine Mutiny Court-Martial' Followed 'Dial 'M' For Murder' At The Plymouth Theatre,Herman Wouk
6097,2,6,1,48,Under Studies,Phycology Is The Study Of This Very Common Type Of Underwater Plant,Seaweed (Or Algae)
6097,2,6,2,54,Under Studies,The Cloaca Maxima Of This City Is One Of The Oldest Sewer Systems In The World,Rome
6097,2,6,3,55,Under Studies,The Under Secretary For Nuclear Security Works For This U.S. Department,Energy
6097,2,6,4,56,Under Studies,Freud Put Plenty Of Laugh Lines In 'Jokes And Their Relation To' This Part Of The Mind,The Unconscious
6097,2,6,5,59,Under Studies,"'As Far Beneath Hades As Heaven Is Above Earth', This Place Of Greek Myth Was Worse Than Getting Your Teeth Scraped",Tartarus
6097,3,1,1,60,Design,Switching The Syllables In The German Word For Building Of A Home Gave This Design & Architecture School Its Name,Bauhaus
6098,1,1,3,26,What Ball Are You Chasing?,A Squib In The Superdome,A Football
6098,1,1,4,28,What Ball Are You Chasing?,"In Quidditch: The Quaffle, The Bludger & This",The Snitch
6098,1,1,5,27,What Ball Are You Chasing?,The Creator Of 'True Blood' & 'Six Feet Under',Alan Ball
6098,1,2,1,11,History In Brief,1938: 'The Night Of Broken' This In Germany,Glass
6098,1,2,2,12,History In Brief,"May 21, 1927: This Airplane Touches Down At Le Bourget Near Paris",The Spirit Of ST. Louis
6098,1,2,3,13,History In Brief,312: Before A Battle Constantine Has A Vision Of One Of These Over The Sun,A Cross
6098,1,2,4,14,History In Brief,1494: The Treaty Of Tordesillas Is Agreed Upon By These 2 Countries,Spain And Portugal
6098,1,2,5,15,History In Brief,1170: This English Archbishop Returns From A 6-Year Exile,Thomas Ã Becket
6098,1,3,1,6,I Learned It From Mental Floss,"Although Bela Lugosi Resented The Typecasting, He Was Buried Wearing The Signature Cape Of This Character",Count Dracula
6098,1,3,2,7,I Learned It From Mental Floss,"7-Eleven Has Trademarked This Term, Something Its Trademarked Slurpees Can Cause If You Drink Them Too Fast",Brain Freeze
6098,1,3,3,8,I Learned It From Mental Floss,"On New Year's Eve Bethlehem, PenN. Drops A Giant Chick, A Replica Of These Marshmallow Candies That Are Made There",A Peep
6098,1,3,4,9,I Learned It From Mental Floss,"One Of The First Companies In Ireland To Provide Pensions, It Also Gave Workers A Daily 2-Pint Beer Allowance",Guinness
6098,1,3,5,10,I Learned It From Mental Floss,"This Yosemite Photographer Broke His Nose At Age 4 In An Aftershock Of The 1906 San Francisco Earthquake, But Never Fixed It",(Ansel) Adams
6098,1,4,1,17,Mob Rule,Frank 'The Enforcer' Nitti Inherited Chicago's Mob Empire From This Kingpin Who Went To Prison In 1931,Capone
6098,1,4,2,18,Mob Rule,Low-Key Philly Mob Boss Angelo Bruno Was Alliteratively Known As 'The Docile' This,'Docile Don'
6098,1,4,3,19,Mob Rule,"Bonanno, Colombo, Gambino, Genovese & Lucchese Are The 5 These That Long Ruled New York's Mob",Families
6098,1,4,4,20,Mob Rule,A Headline-Making Raid On A 1957 Mob Summit In N.Y. Forced This GovT. OrG. Founded In 1908 To Admit The Mafia's Existence,The Fbi
6098,1,4,5,21,Mob Rule,In 'Jailhouse Rock' The Whole Rhythm Section Was This Colorful Gang That In Real Life Terrorized 1920s Detroit,The Purple Gang
6098,1,5,1,16,Similar Words,"With One T, It's The Roof Of The Mouth; With 2, It's A Board For Mixing Paints",A Palate/Palette
6098,1,5,2,22,Similar Words,"As Opposed To The Reverse, It's The Front Or Heads Side Of A Coin",The Obverse
6098,1,5,3,23,Similar Words,"Pertaining To Wedlock With One Person At A Time, & A Word Meaning Tedious Repetition",Monogamy Or Monotony
6098,1,5,4,24,Similar Words,Pertaining To Wedlock & Pertaining To War,Marital And Martial
6098,1,5,5,25,Similar Words,Related To The Word 'Respect' Is This Word For A Delay That Brings Relief,Respite
6098,1,6,1,1,"'A', Baby!","If You Want To Have Your New Baby From Birth, The Best Type Of This Process Is The Domestic Type, From Here In The United States",Adoption
6098,1,6,2,2,"'A', Baby!",This Fluid That Surrounds Unborn Babies Protects Them & Helps Their Lungs Develop,Amniotic
6098,1,6,3,3,"'A', Baby!",The Fisher-Price 3-In-1 Sit-To-Stand Is One Of These Gadget-Filled 'Centers' Designed To Keep Babies Occupied,Activity
6098,1,6,4,4,"'A', Baby!","The First Successful Used Of This Technique Dates To The 1700s, When DR. John Hunter Helped A Couple Conceive",Artificial Insemination
6098,1,6,5,5,"'A', Baby!",This Score Assesses A Newborn Baby's Health By Measuring 5 Signs; A Score Of 10 Is Perfect,Apgar
6098,2,1,1,41,Fantasy & Paranormal Lit,Andre Norton Asked Us To Gaze Into This Magical Man's 'Mirror' That Reflected The Realm Of King Arthur,Merlin
6098,2,1,2,42,Fantasy & Paranormal Lit,Satan Might Be The Father Of The Title Woman's Child In This Novel By Ira Levin,Rosemary's Baby
6098,2,1,3,43,Fantasy & Paranormal Lit,"In 'Hush, Hush' Young Nora Falls For Patch, One Of These Sullied Followers Of Lucifer",Fallen Angels
6098,2,1,4,44,Fantasy & Paranormal Lit,"In Books By Julie Kagawa, Meghan Discovers That She's Half-This & Also That The Word Can Be Spelled With A Middle 'E'",Fae (Or Faerie)
6098,2,1,5,50,Fantasy & Paranormal Lit,"This Author Of 'The Farthest Shore', Part Of The 'Earthsea' Series, Passed Over To The Far Shore Herself In 2018",(Ursula) Le Guin
6098,2,2,1,31,Urban Planning,"When Planning A City From Scratch, You'D Probably Start With This 4-Letter Plan Showing Streets & Blocks",A Grid
6098,2,2,2,32,Urban Planning,"Yimby Stands For This, As Some Neighborhoods Are Okay With Attracting Affordable Housing","'Yes, In My Backyard'"
6098,2,2,3,33,Urban Planning,"We'll Need A Few Of These Pedestrian Overpasses, Also A Term For The Route A Plane Takes",A Skyway
6098,2,2,4,34,Urban Planning,Extremely Small Parks In Cities Are Named For This Clothing Part,A Pocket Park
6098,2,2,5,40,Urban Planning,"When Roads, Fences, Or Other Human Activity Keeps Animals From Feeding Or Migrating, Urban Planners Create These Wildlife Lanes, From The Latin 'To Run'",A Corridor
6098,2,3,1,29,"Movie Role, Tv Role",Lucy Whitmore In '50 First Dates'; Sheila Hammond On 'Santa Clarita Diet',Drew Barrymore
6098,2,3,2,30,"Movie Role, Tv Role",Inigo Montoya In 'The Princess Bride'; Saul Berenson On 'Homeland',Mandy Patinkin
6098,2,3,3,47,"Movie Role, Tv Role",Chief Rash In 'Drowning Mona'; Frank On 'It's Always Sunny In Philadelphia',Danny Devito
6098,2,3,4,46,"Movie Role, Tv Role",Wanda In 'A Fish Called Wanda'; Cathy On 'Scream Queens',Jamie Lee Curtis
6098,2,3,5,45,"Movie Role, Tv Role",Henry Hill In 'Goodfellas'; Matt Wozniak On 'Shades Of Blue',Ray Liotta
6098,2,4,1,35,3 'E's,A Keyboard Command To Bring Up The Task Manager Is Control-Alt-This,Delete
6098,2,4,2,36,3 'E's,We Hope You're Not One Of These People Who Secretly Listen In On Private Conversations,An Eavesdropper
6098,2,4,3,37,3 'E's,"The Last Song Rodgers & Hammerstein Wrote Together, It Ends, 'Bless My Homeland Forever'",'Edelweiss'
6098,2,4,4,38,3 'E's,In England You Go To This Colorful Store To Buy Fresh Fruit & Vegetables,The Greengrocer
6098,2,4,5,39,3 'E's,In The 1890s Supporters Of This Movement Founded The Anti-Saloon League,Temperance
6098,2,5,1,48,Mali,"Reflecting Mali's Colonial Heritage, It's The Official Language",French
6098,2,5,2,49,Mali,"Mali's Most Popular Sport, It Has A Team In Every Major Town & Malians Playing Professionally In Europe",Soccer
6098,2,5,3,56,Mali,"Bamako, Mali's Capital, Is On A Major River & The City's Symbol Is 3 Of These Reptiles",Crocodiles
6098,2,5,4,57,Mali,In 2018 A Malian Migrant To Paris Saved A Boy On A Balcony & Became This Superhero 'Of The 18th Arrondissement',Spider-Man
6098,2,5,5,58,Mali,Mali's 'Great' One Of These In The City Of Djenne Is The World's Largest Mud Brick Structure,A Mosque
6098,2,6,1,51,Or Bust,"Here's A Bust Of This German Composer, Who The Sculptor Said Was Listening To God",Beethoven
6098,2,6,2,52,Or Bust,"Oh Say Can You See The Bust Of This Lawyer, Who Became D.C.'S D.A. In 1833",(Francis Scott) Key
6098,2,6,3,53,Or Bust,A Bronze Head Of This Man Who Became Rome's Sole Ruler In 27 B.C. Was Found In 1910,Augustus
6098,2,6,4,55,Or Bust,"In 2017 The Wende Museum Featured 100-Plus Busts Of This Soviet Leader, Who Still Lies In Red Square",Lenin
6098,2,6,5,54,Or Bust,In The Entrance Hall Of Monticello Jefferson Placed A Bust Of Himself Opposite One Of This Cabinet Secretary & Rival,Alexander Hamilton
6098,3,1,1,59,18th Century Names,"In 1789 This Doctor Proposed 6 Articles On Penal Reform To The French Assembly, Including One On Capital Punishment",Joseph Guillotin
6099,1,1,1,11,At 35,At 35 He Was Elected To The Senate From Massachusetts; Later He Became The 35th President,Jfk
6099,1,1,2,12,At 35,He Was 35 When He Crowned Himself Emperor In 1804,Napoleon
6099,1,1,3,13,At 35,"In 2017 China Celebrated The 35th Birthday Of Xinxing, One Of The World's Oldest Of These",A Panda
6099,1,1,4,16,At 35,He Was A Young Man Of 35 When He Performed For Inmates At Folsom Prison For A Live Album,Johnny Cash
6099,1,1,5,17,At 35,'Full Fathom Five' Was One Of His Earliest Drip Paintings A Technique He Took Up When He Was 35,Pollock
6099,1,2,1,6,Same First & Last Letter,It's Short For The Agreement Some Couples Sign Before They Get Married,A Prenup
6099,1,2,2,7,Same First & Last Letter,Who's Up For A Game Of This?,Hopscotch
6099,1,2,3,8,Same First & Last Letter,"No 'N' In The Middle, Please--It's The Term For A Person Who Owns An Eating Establishment",Restaurateur
6099,1,2,4,9,Same First & Last Letter,It's The Doctrine That There Is Only One God,Monotheism
6099,1,2,5,10,Same First & Last Letter,"From 'T' To Shiny 'T', It's A Small Item Of Little Value, Especially A Piece Of Jewelry",A Trinket
6099,1,3,1,14,Bad Folks In Books,"He Only Appears In 2 Of Conan Doyle's Stories, But He's Quite A Match For The Hero",Moriarty
6099,1,3,2,15,Bad Folks In Books,"A Burglar, A Murderer & A Dog Beater, Bill Sikes Is A True Villain In This Novel",Oliver Twist
6099,1,3,3,18,Bad Folks In Books,Inner Party Member & Torturer O'brien Shows This Man The True Face Of Evil In 'Nineteen Eighty-Four',Winston Smith
6099,1,3,4,19,Bad Folks In Books,Evil Housekeeper MrS. Danvers Almost Persuades A Young Wife To Kill Herself In This Daphne Du Maurier Novel,Rebecca
6099,1,3,5,20,Bad Folks In Books,"This Ruler Of Narnia Earned Her Colorful Title By Beginning The Long Winter, A 100-Year Period Of Snow & Ice",The White Witch
6099,1,4,1,21,I Got A Fever,This Season Precedes 'Fever' In The Name Of That Restless Feeling You're Said To Get At Its Start,Spring
6099,1,4,2,22,I Got A Fever,His Performance In 'Saturday Night Fever' Earned Him An Oscar Nomination For Leading Actor,(John) Travolta
6099,1,4,3,23,I Got A Fever,Random House Defines This 'Fever' As 'Greed And Excitement Caused By' It & Dates The Term To The 1840s,Gold Fever
6099,1,4,4,24,I Got A Fever,In A Snack Food Ad 'We Got The Fever For The Flavor Of A' This,A Pringle
6099,1,4,5,25,I Got A Fever,You Suffer From This When You Get Overanxious Or Bored By Staying In A Cottage-Like Place For Too Long,Cabin Fever
6099,1,5,3,26,The Only Prescription,"The 'Nation' Has Learned That This, Aka Fluoxetine, Can Be Used To Treat Ocd & Panic Attacks",Prozac
6099,1,5,4,27,The Only Prescription,"Used To Treat Adhd, This Combo Medication 'Xr' Helps You Stay Focused, But Taking It After Noon May Cause Insomnia",Adderall
6099,1,5,5,28,The Only Prescription,Lyrica May Be The Call When Pain From Nerve Damage From This Post-Chickenpox Disease Sends Us Through The Roof,Shingles
6099,1,6,1,1,More Cowbell,"In An 'Snl' Skit, '(Don't Fear) The Reaper' Was The Song On Which This Man Was Playing A Mean Cowbell",Will Ferrell
6099,1,6,2,2,More Cowbell,"Cowbell Starts Off 'Honky Tonk Women' By This Band, Which I Want You To Gimmay, Gimmay, Gimmay",The Rolling Stones
6099,1,6,3,3,More Cowbell,This Rap Trio From Brooklyn--As In 'No Sleep TilL...'--Threw In A Cowbell Solo On 'Hey Ladies',The Beastie Boys
6099,1,6,4,4,More Cowbell,"Tom Fogerty Said, 'Man, That Sure Sounds Good When The Cowbell Comes In' As This Band Recorded 'Born On The Bayou'",Creedence Clearwater Revival (Or Ccr)
