game,show,date
700,2995,1997-09-12
701,2996,1997-09-15
702,2997,1997-09-16
704,2998,1997-09-17
706,2999,1997-09-18
143,3000,1997-09-19
708,3001,1997-09-22
710,3002,1997-09-23
713,3003,1997-09-24
716,3004,1997-09-25
1141,3005,1997-09-26
1142,3006,1997-09-29
1143,3007,1997-09-30
1144,3008,1997-10-01
1145,3009,1997-10-02
1146,3010,1997-10-03
1147,3011,1997-10-06
3512,3012,1997-10-07
3514,3013,1997-10-08
1148,3014,1997-10-09
1149,3015,1997-10-10
1237,3016,1997-10-13
1238,3017,1997-10-14
1239,3018,1997-10-15
1240,3019,1997-10-16
1241,3020,1997-10-17
1242,3021,1997-10-20
1243,3022,1997-10-21
1244,3023,1997-10-22
1245,3024,1997-10-23
1246,3025,1997-10-24
1247,3026,1997-10-27
1248,3027,1997-10-28
1249,3028,1997-10-29
1250,3029,1997-10-30
1176,3030,1997-10-31
1259,3031,1997-11-03
1260,3032,1997-11-04
1261,3033,1997-11-05
1264,3034,1997-11-06
1265,3035,1997-11-07
1267,3036,1997-11-10
1268,3037,1997-11-11
1269,3038,1997-11-12
1270,3039,1997-11-13
2547,3041,1997-11-17
2513,3042,1997-11-18
2549,3043,1997-11-19
2550,3044,1997-11-20
2551,3045,1997-11-21
1177,3046,1997-11-24
1178,3047,1997-11-25
1179,3048,1997-11-26
2004,3049,1997-11-27
1881,3050,1997-11-28
1882,3051,1997-12-01
1885,3052,1997-12-02
1887,3053,1997-12-03
1888,3054,1997-12-04
1889,3055,1997-12-05
1890,3056,1997-12-08
1891,3057,1997-12-09
1892,3058,1997-12-10
1893,3059,1997-12-11
1214,3060,1997-12-12
1215,3061,1997-12-15
1216,3062,1997-12-16
1217,3063,1997-12-17
1224,3064,1997-12-18
1225,3065,1997-12-19
1226,3066,1997-12-22
1227,3067,1997-12-23
1228,3068,1997-12-24
1229,3069,1997-12-25
1230,3070,1997-12-26
1231,3071,1997-12-29
79,3072,1997-12-30
80,3073,1997-12-31
86,3075,1998-01-02
90,3076,1998-01-05
1899,3077,1998-01-06
1900,3078,1998-01-07
1901,3079,1998-01-08
1904,3080,1998-01-09
1906,3081,1998-01-12
1907,3082,1998-01-13
1908,3083,1998-01-14
1910,3084,1998-01-15
1912,3085,1998-01-16
1913,3086,1998-01-19
1914,3087,1998-01-20
1916,3088,1998-01-21
1917,3089,1998-01-22
3116,3090,1998-01-23
1918,3091,1998-01-26
1919,3092,1998-01-27
1920,3093,1998-01-28
863,3094,1998-01-29
864,3095,1998-01-30
280,3096,1998-02-02
283,3097,1998-02-03
286,3098,1998-02-04
1186,3099,1998-02-05
1187,3100,1998-02-06
292,3101,1998-02-09
1189,3102,1998-02-10
1190,3103,1998-02-11
499,3104,1998-02-12
1191,3106,1998-02-16
1192,3107,1998-02-17
1193,3108,1998-02-18
1194,3109,1998-02-19
1195,3110,1998-02-20
1196,3111,1998-02-23
191,3112,1998-02-24
192,3113,1998-02-25
194,3114,1998-02-26
196,3115,1998-02-27
1201,3116,1998-03-02
199,3117,1998-03-03
1197,3118,1998-03-04
1198,3119,1998-03-05
1199,3120,1998-03-06
1200,3121,1998-03-09
210,3122,1998-03-10
211,3123,1998-03-11
212,3124,1998-03-12
213,3125,1998-03-13
209,3126,1998-03-16
201,3127,1998-03-17
203,3128,1998-03-18
205,3129,1998-03-19
214,3130,1998-03-20
215,3131,1998-03-23
216,3132,1998-03-24
217,3133,1998-03-25
218,3134,1998-03-26
228,3135,1998-03-27
229,3136,1998-03-30
231,3137,1998-03-31
232,3138,1998-04-01
230,3139,1998-04-02
236,3140,1998-04-03
88,3141,1998-04-06
614,3142,1998-04-07
1213,3143,1998-04-08
960,3144,1998-04-09
1974,3145,1998-04-10
1975,3146,1998-04-13
1976,3147,1998-04-14
921,3148,1998-04-15
942,3149,1998-04-16
1977,3150,1998-04-17
953,3151,1998-04-20
955,3152,1998-04-21
1978,3153,1998-04-22
1979,3154,1998-04-23
1980,3155,1998-04-24
2519,3156,1998-04-27
2520,3157,1998-04-28
2435,3158,1998-04-29
2522,3159,1998-04-30
2523,3160,1998-05-01
2527,3161,1998-05-04
2528,3162,1998-05-05
2529,3163,1998-05-06
2530,3164,1998-05-07
2531,3165,1998-05-08
2532,3166,1998-05-11
2533,3167,1998-05-12
2534,3168,1998-05-13
2535,3169,1998-05-14
1202,3171,1998-05-18
1203,3172,1998-05-19
277,3173,1998-05-20
1204,3174,1998-05-21
1205,3175,1998-05-22
3928,3176,1998-05-25
1206,3177,1998-05-26
1207,3178,1998-05-27
1208,3179,1998-05-28
1209,3180,1998-05-29
1210,3181,1998-06-01
1211,3182,1998-06-02
1941,3183,1998-06-03
1942,3184,1998-06-04
3114,3185,1998-06-05
1943,3186,1998-06-08
1944,3187,1998-06-09
1945,3188,1998-06-10
1946,3189,1998-06-11
396,3190,1998-06-12
1927,3191,1998-06-15
1928,3192,1998-06-16
1930,3193,1998-06-17
1932,3194,1998-06-18
1994,3195,1998-06-19
1934,3196,1998-06-22
1935,3197,1998-06-23
1925,3198,1998-06-24
1952,3199,1998-06-25
1953,3200,1998-06-26
1954,3201,1998-06-29
1955,3202,1998-06-30
3710,3203,1998-07-01
1956,3204,1998-07-02
1957,3205,1998-07-03
1958,3206,1998-07-06
1959,3207,1998-07-07
1960,3208,1998-07-08
1961,3209,1998-07-09
1962,3210,1998-07-10
1963,3211,1998-07-13
1964,3212,1998-07-14
1965,3213,1998-07-15
1966,3214,1998-07-16
790,3215,1998-07-17
495,3216,1998-09-07
792,3217,1998-09-08
793,3218,1998-09-09
795,3219,1998-09-10
797,3220,1998-09-11
798,3221,1998-09-14
803,3222,1998-09-15
805,3223,1998-09-16
806,3224,1998-09-17
807,3225,1998-09-18
810,3226,1998-09-21
812,3227,1998-09-22
813,3228,1998-09-23
815,3229,1998-09-24
818,3230,1998-09-25
820,3231,1998-09-28
821,3232,1998-09-29
823,3233,1998-09-30
825,3234,1998-10-01
826,3235,1998-10-02
828,3236,1998-10-05
830,3237,1998-10-06
832,3239,1998-10-08
833,3240,1998-10-09
834,3241,1998-10-12
835,3242,1998-10-13
838,3243,1998-10-14
839,3244,1998-10-15
841,3245,1998-10-16
842,3246,1998-10-19
845,3247,1998-10-20
846,3248,1998-10-21
848,3249,1998-10-22
850,3250,1998-10-23
852,3251,1998-10-26
854,3252,1998-10-27
855,3253,1998-10-28
857,3254,1998-10-29
859,3255,1998-10-30
865,3256,1998-11-02
866,3257,1998-11-03
867,3258,1998-11-04
870,3259,1998-11-05
872,3260,1998-11-06
874,3261,1998-11-09
875,3262,1998-11-10
877,3263,1998-11-11
880,3264,1998-11-12
881,3265,1998-11-13
883,3266,1998-11-16
884,3267,1998-11-17
886,3268,1998-11-18
888,3269,1998-11-19
537,3270,1998-11-20
889,3271,1998-11-23
890,3272,1998-11-24
893,3273,1998-11-25
896,3274,1998-11-26
899,3275,1998-11-27
903,3276,1998-11-30
905,3277,1998-12-01
909,3278,1998-12-02
912,3279,1998-12-03
914,3280,1998-12-04
916,3281,1998-12-07
919,3282,1998-12-08
922,3283,1998-12-09
924,3284,1998-12-10
925,3285,1998-12-11
926,3286,1998-12-14
929,3287,1998-12-15
932,3288,1998-12-16
935,3289,1998-12-17
937,3290,1998-12-18
939,3291,1998-12-21
941,3292,1998-12-22
945,3293,1998-12-23
947,3294,1998-12-24
952,3295,1998-12-25
957,3296,1998-12-28
961,3297,1998-12-29
964,3298,1998-12-30
967,3299,1998-12-31
970,3301,1999-01-04
972,3302,1999-01-05
976,3303,1999-01-06
978,3304,1999-01-07
981,3305,1999-01-08
982,3306,1999-01-11
1042,3307,1999-01-12
1044,3308,1999-01-13
1046,3309,1999-01-14
1047,3310,1999-01-15
1049,3311,1999-01-18
1050,3312,1999-01-19
1054,3313,1999-01-20
1059,3314,1999-01-21
1061,3315,1999-01-22
1067,3316,1999-01-25
1069,3317,1999-01-26
1077,3318,1999-01-27
1079,3319,1999-01-28
1081,3320,1999-01-29
1093,3321,1999-02-01
1098,3322,1999-02-02
1104,3323,1999-02-03
1105,3324,1999-02-04
1108,3325,1999-02-05
1109,3326,1999-02-08
1112,3327,1999-02-09
1113,3328,1999-02-10
1115,3329,1999-02-11
1117,3330,1999-02-12
1119,3331,1999-02-15
1126,3332,1999-02-16
1127,3333,1999-02-17
1128,3334,1999-02-18
2456,3336,1999-02-22
2457,3337,1999-02-23
2458,3338,1999-02-24
2459,3339,1999-02-25
1306,3340,1999-02-26
2460,3341,1999-03-01
2461,3342,1999-03-02
2462,3343,1999-03-03
2463,3344,1999-03-04
2307,3346,1999-03-08
2308,3347,1999-03-09
2309,3348,1999-03-10
2310,3349,1999-03-11
2311,3350,1999-03-12
2312,3351,1999-03-15
2313,3352,1999-03-16
2314,3353,1999-03-17
2315,3354,1999-03-18
2316,3355,1999-03-19
3045,3356,1999-03-22
2328,3357,1999-03-23
2317,3358,1999-03-24
2318,3359,1999-03-25
2319,3360,1999-03-26
3042,3361,1999-03-29
2331,3362,1999-03-30
2332,3363,1999-03-31
2333,3364,1999-04-01
2334,3365,1999-04-02
3041,3366,1999-04-05
2335,3367,1999-04-06
2336,3368,1999-04-07
2337,3369,1999-04-08
2338,3370,1999-04-09
3037,3371,1999-04-12
2339,3372,1999-04-13
2340,3373,1999-04-14
2341,3374,1999-04-15
2342,3375,1999-04-16
2350,3376,1999-04-19
2351,3377,1999-04-20
2352,3378,1999-04-21
2353,3379,1999-04-22
2354,3380,1999-04-23
2355,3381,1999-04-26
2356,3382,1999-04-27
188,3383,1999-04-28
239,3384,1999-04-29
252,3385,1999-04-30
2378,3386,1999-05-03
2380,3387,1999-05-04
2381,3388,1999-05-05
2383,3389,1999-05-06
2384,3390,1999-05-07
2385,3391,1999-05-10
2386,3392,1999-05-11
2387,3393,1999-05-12
2388,3394,1999-05-13
3029,3396,1999-05-17
3031,3397,1999-05-18
3032,3398,1999-05-19
3034,3399,1999-05-20
3035,3400,1999-05-21
276,3401,1999-05-24
278,3402,1999-05-25
2394,3403,1999-05-26
2395,3404,1999-05-27
2396,3405,1999-05-28
2398,3406,1999-05-31
2399,3407,1999-06-01
2400,3408,1999-06-02
2401,3409,1999-06-03
2402,3410,1999-06-04
2403,3411,1999-06-07
2404,3412,1999-06-08
2405,3413,1999-06-09
2406,3414,1999-06-10
2407,3415,1999-06-11
2408,3416,1999-06-14
2409,3417,1999-06-15
2418,3418,1999-06-16
2419,3419,1999-06-17
2420,3420,1999-06-18
2421,3421,1999-06-21
2423,3422,1999-06-22
2424,3423,1999-06-23
2425,3424,1999-06-24
2426,3425,1999-06-25
1937,3426,1999-06-28
2995,3427,1999-06-29
2996,3428,1999-06-30
2997,3429,1999-07-01
2998,3430,1999-07-02
2427,3431,1999-07-05
2428,3432,1999-07-06
2429,3433,1999-07-07
2432,3434,1999-07-08
2433,3435,1999-07-09
2440,3436,1999-07-12
2441,3437,1999-07-13
2442,3438,1999-07-14
2443,3439,1999-07-15
2444,3440,1999-07-16
2445,3441,1999-07-19
2446,3442,1999-07-20
2447,3443,1999-07-21
2044,3444,1999-07-22
2045,3445,1999-07-23
2144,3446,1999-09-06
2493,3447,1999-09-07
2494,3448,1999-09-08
2496,3449,1999-09-09
2498,3450,1999-09-10
2038,3451,1999-09-13
2040,3452,1999-09-14
2041,3453,1999-09-15
2042,3454,1999-09-16
2043,3455,1999-09-17
1702,3456,1999-09-20
1703,3457,1999-09-21
1704,3458,1999-09-22
1705,3459,1999-09-23
1706,3460,1999-09-24
1707,3461,1999-09-27
1708,3462,1999-09-28
1709,3463,1999-09-29
1710,3464,1999-09-30
1711,3465,1999-10-01
1712,3466,1999-10-04
1713,3467,1999-10-05
1714,3468,1999-10-06
1623,3469,1999-10-07
1624,3470,1999-10-08
1625,3471,1999-10-11
1626,3472,1999-10-12
1639,3473,1999-10-13
1627,3474,1999-10-14
1628,3475,1999-10-15
1629,3476,1999-10-18
1630,3477,1999-10-19
206,3478,1999-10-20
1615,3479,1999-10-21
1616,3480,1999-10-22
1617,3481,1999-10-25
1618,3482,1999-10-26
2148,3483,1999-10-27
2149,3484,1999-10-28
2150,3485,1999-10-29
2472,3486,1999-11-01
2473,3487,1999-11-02
2474,3488,1999-11-03
2475,3489,1999-11-04
2476,3490,1999-11-05
2477,3491,1999-11-08
2478,3492,1999-11-09
2479,3493,1999-11-10
2480,3494,1999-11-11
2490,3496,1999-11-15
2499,3497,1999-11-16
2502,3498,1999-11-17
2503,3499,1999-11-18
2505,3500,1999-11-19
2153,3501,1999-11-22
2154,3502,1999-11-23
2155,3503,1999-11-24
2156,3504,1999-11-25
2157,3505,1999-11-26
2161,3506,1999-11-29
2164,3507,1999-11-30
2165,3508,1999-12-01
2166,3509,1999-12-02
2167,3510,1999-12-03
2168,3511,1999-12-06
2169,3512,1999-12-07
2176,3513,1999-12-08
2177,3514,1999-12-09
2178,3515,1999-12-10
2179,3516,1999-12-13
2180,3517,1999-12-14
2181,3518,1999-12-15
2182,3519,1999-12-16
2183,3520,1999-12-17
2184,3521,1999-12-20
2185,3522,1999-12-21
2186,3523,1999-12-22
2187,3524,1999-12-23
2188,3525,1999-12-24
2000,3526,1999-12-27
2001,3527,1999-12-28
2002,3528,1999-12-29
2003,3529,1999-12-30
2005,3530,1999-12-31
2006,3531,2000-01-03
2007,3532,2000-01-04
2008,3533,2000-01-05
2009,3534,2000-01-06
2010,3535,2000-01-07
2011,3536,2000-01-10
2012,3537,2000-01-11
2014,3538,2000-01-12
2016,3539,2000-01-13
2017,3540,2000-01-14
2018,3541,2000-01-17
2019,3542,2000-01-18
2020,3543,2000-01-19
2021,3544,2000-01-20
2022,3545,2000-01-21
2024,3546,2000-01-24
2025,3547,2000-01-25
2026,3548,2000-01-26
2027,3549,2000-01-27
2028,3550,2000-01-28
2029,3551,2000-01-31
2030,3552,2000-02-01
2031,3553,2000-02-02
2032,3554,2000-02-03
2033,3555,2000-02-04
2129,3556,2000-02-07
2131,3557,2000-02-08
2132,3558,2000-02-09
2133,3559,2000-02-10
2135,3560,2000-02-11
2136,3561,2000-02-14
2137,3562,2000-02-15
2138,3563,2000-02-16
2139,3564,2000-02-17
2034,3566,2000-02-21
2035,3567,2000-02-22
2036,3568,2000-02-23
1643,3569,2000-02-24
1644,3570,2000-02-25
1645,3571,2000-02-28
1646,3572,2000-02-29
1647,3573,2000-03-01
1648,3574,2000-03-02
1649,3575,2000-03-03
1650,3576,2000-03-06
1651,3577,2000-03-07
1652,3578,2000-03-08
1653,3579,2000-03-09
1654,3580,2000-03-10
270,3581,2000-03-13
1633,3582,2000-03-14
1634,3583,2000-03-15
1635,3584,2000-03-16
1636,3585,2000-03-17
2046,3586,2000-03-20
2047,3587,2000-03-21
2048,3588,2000-03-22
2049,3589,2000-03-23
2050,3590,2000-03-24
2051,3591,2000-03-27
2054,3592,2000-03-28
2056,3593,2000-03-29
2057,3594,2000-03-30
2058,3595,2000-03-31
2060,3596,2000-04-03
2062,3597,2000-04-04
2064,3598,2000-04-05
2065,3599,2000-04-06
2068,3600,2000-04-07
2069,3601,2000-04-10
2071,3602,2000-04-11
2073,3603,2000-04-12
2074,3604,2000-04-13
2076,3605,2000-04-14
2077,3606,2000-04-17
2079,3607,2000-04-18
2080,3608,2000-04-19
2082,3609,2000-04-20
2083,3610,2000-04-21
2084,3611,2000-04-24
2087,3612,2000-04-25
2088,3613,2000-04-26
2089,3614,2000-04-27
1819,3615,2000-04-28
1820,3616,2000-05-01
1821,3617,2000-05-02
1822,3618,2000-05-03
1823,3619,2000-05-04
1824,3620,2000-05-05
1293,3621,2000-05-08
1295,3622,2000-05-09
1297,3623,2000-05-10
299,3624,2000-05-11
1298,3625,2000-05-12
1300,3626,2000-05-15
1302,3627,2000-05-16
1303,3628,2000-05-17
1304,3629,2000-05-18
1311,3631,2000-05-22
1312,3632,2000-05-23
1313,3633,2000-05-24
1316,3634,2000-05-25
1314,3635,2000-05-26
4597,3636,2000-05-29
1315,3637,2000-05-30
2091,3638,2000-05-31
2093,3639,2000-06-01
2095,3640,2000-06-02
2097,3641,2000-06-05
2098,3642,2000-06-06
2099,3643,2000-06-07
2101,3644,2000-06-08
2103,3645,2000-06-09
2104,3646,2000-06-12
2106,3647,2000-06-13
2108,3648,2000-06-14
2110,3649,2000-06-15
2111,3650,2000-06-16
2112,3651,2000-06-19
2113,3652,2000-06-20
2114,3653,2000-06-21
2115,3654,2000-06-22
2116,3655,2000-06-23
2117,3656,2000-06-26
2118,3657,2000-06-27
2119,3658,2000-06-28
2120,3659,2000-06-29
2121,3660,2000-06-30
911,3661,2000-07-03
1018,3662,2000-07-04
1015,3663,2000-07-05
204,3664,2000-07-06
985,3665,2000-07-07
987,3666,2000-07-10
994,3667,2000-07-11
1006,3668,2000-07-12
1011,3669,2000-07-13
1012,3670,2000-07-14
1862,3671,2000-07-17
1863,3672,2000-07-18
1016,3673,2000-07-19
1025,3674,2000-07-20
1039,3675,2000-07-21
1789,3676,2000-09-04
1790,3677,2000-09-05
1806,3678,2000-09-06
1807,3679,2000-09-07
1808,3680,2000-09-08
1809,3681,2000-09-11
1812,3682,2000-09-12
1815,3683,2000-09-13
1816,3684,2000-09-14
1818,3685,2000-09-15
1825,3686,2000-09-18
1826,3687,2000-09-19
1827,3688,2000-09-20
1830,3689,2000-09-21
1831,3690,2000-09-22
1833,3691,2000-09-25
1834,3692,2000-09-26
1836,3693,2000-09-27
1837,3694,2000-09-28
1839,3695,2000-09-29
3097,3696,2000-10-02
1258,3697,2000-10-03
3099,3698,2000-10-04
3101,3699,2000-10-05
3103,3700,2000-10-06
1840,3701,2000-10-09
1841,3702,2000-10-10
1278,3703,2000-10-11
1843,3704,2000-10-12
1845,3705,2000-10-13
1847,3706,2000-10-16
1848,3707,2000-10-17
1849,3708,2000-10-18
1852,3709,2000-10-19
1853,3710,2000-10-20
1854,3711,2000-10-23
1855,3712,2000-10-24
1857,3713,2000-10-25
1859,3714,2000-10-26
1861,3715,2000-10-27
137,3716,2000-10-30
138,3717,2000-10-31
140,3718,2000-11-01
145,3719,2000-11-02
147,3720,2000-11-03
1866,3721,2000-11-06
1867,3722,2000-11-07
2290,3723,2000-11-08
2291,3724,2000-11-09
318,3725,2000-11-10
2292,3726,2000-11-13
2293,3727,2000-11-14
2294,3728,2000-11-15
2295,3729,2000-11-16
2296,3730,2000-11-17
2297,3731,2000-11-20
1873,3733,2000-11-22
1876,3734,2000-11-23
1877,3735,2000-11-24
2208,3736,2000-11-27
2209,3737,2000-11-28
2210,3738,2000-11-29
2211,3739,2000-11-30
2212,3740,2000-12-01
2213,3741,2000-12-04
2214,3742,2000-12-05
2215,3743,2000-12-06
2216,3744,2000-12-07
2217,3745,2000-12-08
2218,3746,2000-12-11
2219,3747,2000-12-12
2220,3748,2000-12-13
2221,3749,2000-12-14
2232,3750,2000-12-15
2233,3751,2000-12-18
2234,3752,2000-12-19
2235,3753,2000-12-20
2236,3754,2000-12-21
2237,3755,2000-12-22
3107,3756,2000-12-25
3105,3757,2000-12-26
3111,3758,2000-12-27
3112,3759,2000-12-28
3113,3760,2000-12-29
2245,3761,2001-01-01
2246,3762,2001-01-02
2247,3763,2001-01-03
2248,3764,2001-01-04
2249,3765,2001-01-05
2250,3766,2001-01-08
2251,3767,2001-01-09
2254,3768,2001-01-10
2255,3769,2001-01-11
2256,3770,2001-01-12
2257,3771,2001-01-15
2258,3772,2001-01-16
2259,3773,2001-01-17
2260,3774,2001-01-18
2275,3775,2001-01-19
2276,3776,2001-01-22
2277,3777,2001-01-23
2278,3778,2001-01-24
2279,3779,2001-01-25
2280,3780,2001-01-26
2281,3781,2001-01-29
2282,3782,2001-01-30
454,3783,2001-01-31
456,3784,2001-02-01
458,3785,2001-02-02
3049,3786,2001-02-05
3052,3787,2001-02-06
3056,3788,2001-02-07
3058,3789,2001-02-08
1778,3790,2001-02-09
1588,3791,2001-02-12
1589,3792,2001-02-13
1590,3793,2001-02-14
1591,3794,2001-02-15
1593,3796,2001-02-19
1595,3797,2001-02-20
1596,3798,2001-02-21
1597,3799,2001-02-22
1598,3800,2001-02-23
1599,3801,2001-02-26
1600,3802,2001-02-27
1601,3803,2001-02-28
1602,3804,2001-03-01
1603,3805,2001-03-02
1604,3806,2001-03-05
1605,3807,2001-03-06
1606,3808,2001-03-07
1503,3809,2001-03-08
1504,3810,2001-03-09
2015,3811,2001-03-12
1505,3812,2001-03-13
1506,3813,2001-03-14
1507,3814,2001-03-15
1508,3815,2001-03-16
1509,3816,2001-03-19
1510,3817,2001-03-20
1511,3818,2001-03-21
1512,3819,2001-03-22
1513,3820,2001-03-23
1514,3821,2001-03-26
1515,3822,2001-03-27
1499,3823,2001-03-28
1500,3824,2001-03-29
1484,3825,2001-03-30
1485,3826,2001-04-02
1486,3827,2001-04-03
1487,3828,2001-04-04
1488,3829,2001-04-05
1489,3830,2001-04-06
1490,3831,2001-04-09
1275,3832,2001-04-10
1491,3833,2001-04-11
1492,3834,2001-04-12
1493,3835,2001-04-13
1494,3836,2001-04-16
1520,3837,2001-04-17
1521,3838,2001-04-18
1522,3839,2001-04-19
1523,3840,2001-04-20
1524,3841,2001-04-23
1525,3842,2001-04-24
1526,3843,2001-04-25
1527,3844,2001-04-26
1528,3845,2001-04-27
1529,3846,2001-04-30
1530,3847,2001-05-01
1531,3848,2001-05-02
1532,3849,2001-05-03
1533,3850,2001-05-04
1534,3851,2001-05-07
1535,3852,2001-05-08
1536,3853,2001-05-09
1537,3854,2001-05-10
1553,3856,2001-05-14
1554,3857,2001-05-15
1555,3858,2001-05-16
1556,3859,2001-05-17
1557,3860,2001-05-18
1558,3861,2001-05-21
1291,3862,2001-05-22
1559,3863,2001-05-23
1560,3864,2001-05-24
1561,3865,2001-05-25
4602,3866,2001-05-28
1562,3867,2001-05-29
1563,3868,2001-05-30
4603,3869,2001-05-31
1279,3870,2001-06-01
1280,3871,2001-06-04
1281,3872,2001-06-05
1282,3873,2001-06-06
1283,3874,2001-06-07
1284,3875,2001-06-08
1285,3876,2001-06-11
1564,3877,2001-06-12
1565,3878,2001-06-13
1566,3879,2001-06-14
1567,3880,2001-06-15
1568,3881,2001-06-18
1569,3882,2001-06-19
1570,3883,2001-06-20
1571,3884,2001-06-21
2023,3885,2001-06-22
1572,3886,2001-06-25
1573,3887,2001-06-26
1574,3888,2001-06-27
1575,3889,2001-06-28
1578,3890,2001-06-29
1579,3891,2001-07-02
1580,3892,2001-07-03
1581,3893,2001-07-04
4605,3894,2001-07-05
4609,3895,2001-07-06
1582,3896,2001-07-09
1583,3897,2001-07-10
1584,3898,2001-07-11
385,3899,2001-07-12
717,3900,2001-07-13
847,3901,2001-07-16
862,3902,2001-07-17
878,3903,2001-07-18
1585,3904,2001-07-19
1586,3905,2001-07-20
466,3906,2001-09-03
467,3907,2001-09-04
409,3908,2001-09-05
393,3909,2001-09-06
402,3910,2001-09-07
404,3911,2001-09-10
403,3912,2001-09-11
407,3913,2001-09-12
429,3914,2001-09-13
430,3915,2001-09-14
435,3916,2001-09-17
436,3917,2001-09-18
437,3918,2001-09-19
441,3919,2001-09-20
446,3920,2001-09-21
449,3921,2001-09-24
450,3922,2001-09-25
460,3923,2001-09-26
461,3924,2001-09-27
462,3925,2001-09-28
988,3926,2001-10-01
989,3927,2001-10-02
990,3928,2001-10-03
991,3929,2001-10-04
992,3930,2001-10-05
996,3931,2001-10-08
997,3932,2001-10-09
998,3933,2001-10-10
999,3934,2001-10-11
1000,3935,2001-10-12
1001,3936,2001-10-15
1002,3937,2001-10-16
1003,3938,2001-10-17
1004,3939,2001-10-18
1005,3940,2001-10-19
1007,3941,2001-10-22
1008,3942,2001-10-23
1009,3943,2001-10-24
296,3944,2001-10-25
1010,3945,2001-10-26
1020,3946,2001-10-29
1021,3947,2001-10-30
327,3948,2001-10-31
325,3949,2001-11-01
1026,3951,2001-11-05
1027,3952,2001-11-06
1028,3953,2001-11-07
1029,3954,2001-11-08
1030,3955,2001-11-09
1031,3956,2001-11-12
1032,3957,2001-11-13
1033,3958,2001-11-14
1034,3959,2001-11-15
1035,3960,2001-11-16
1036,3961,2001-11-19
1055,3963,2001-11-21
1056,3964,2001-11-22
1057,3965,2001-11-23
